#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                            9                0
   7 ADD                         6065                0
  10 ADDSD                          3                0
  11 ADDSS                         13                0
  21 AND                         2182                0
  24 ANDNPS                         1                0
  25 ANDPD                          4                0
  26 ANDPS                          3                0
  52 BSF                           35                0
  53 BSR                           22                0
  54 BSWAP                         39                0
  55 BT                            11                0
  58 BTS                            2                0
  61 CALL_NEAR                   8980                0
  63 CDQ                           12                0
  64 CDQE                         207                0
  67 CLD                            3                0
  91 CMP                        10039                0
 100 CMPXCHG                      432                0
 105 CPUID                         12                0
 106 CQO                            5                0
 120 CVTSI2SD                       4                0
 121 CVTSI2SS                      23                0
 129 CVTTSS2SI                      9                0
 134 DEC                          597                0
 135 DIV                          126                0
 138 DIVSD                          4                0
 139 DIVSS                          3                0
 150 FADD                           9                0
 154 FCHS                           4                0
 171 FDIV                           2                0
 172 FDIVP                          3                0
 174 FDIVRP                         1                0
 184 FILD                          14                0
 188 FISTP                          6                0
 192 FLD                           94                0
 193 FLD1                           3                0
 194 FLDCW                         12                0
 195 FLDENV                         3                0
 201 FLDZ                           9                0
 202 FMUL                           8                0
 203 FMULP                          2                0
 208 FNSTCW                         7                0
 209 FNSTENV                        2                0
 217 FSCALE                         1                0
 223 FSTP                         129                0
 226 FSUBP                          3                0
 227 FSUBR                          3                0
 231 FUCOMI                        15                0
 232 FUCOMIP                       10                0
 237 FXCH                          28                0
 248 HLT                            6                0
 251 IDIV                          16                0
 252 IMUL                         229                0
 254 INC                           89                0
 273 JB                           289                0
 274 JBE                          630                0
 275 JL                            83                0
 276 JLE                          477                0
 277 JMP                         8825                0
 279 JNB                          841                0
 280 JNBE                        1012                0
 281 JNL                           71                0
 282 JNLE                         316                0
 284 JNP                            2                0
 285 JNS                          111                0
 286 JNZ                         6656                0
 288 JP                             8                0
 290 JS                           537                0
 291 JZ                          8911                0
 346 LDMXCSR                        2                0
 348 LEA                         9098                0
 378 MFENCE                        14                0
 384 MOV                        55427                0
 385 MOVAPD                        27                0
 386 MOVAPS                       381                0
 388 MOVD                          25                0
 391 MOVDQA                       125                0
 392 MOVDQU                       103                0
 409 MOVQ                          24                0
 413 MOVSD_XMM                     66                0
 417 MOVSS                         16                0
 419 MOVSX                        380                0
 420 MOVSXD                       951                0
 423 MOVZX                       2441                0
 427 MUL                           18                0
 430 MULSD                         13                0
 431 MULSS                         14                0
 434 NEG                          431                0
 435 NOP                         5380                0
 444 NOT                          107                0
 445 OR                          1215                0
 446 ORPD                           3                0
 447 ORPS                           3                0
 460 PADDD                          1                0
 461 PADDQ                          2                0
 477 PCMPEQB                      141                0
 478 PCMPEQD                      127                0
 484 PCMPGTD                        1                0
 534 PMAXUB                         9                0
 540 PMINUB                        22                0
 543 PMOVMSKB                     221                0
 564 POP                         6032                0
 571 POR                            9                0
 582 PSHUFD                         8                0
 591 PSLLQ                          2                0
 599 PSUBB                         41                0
 610 PUNPCKHDQ                      1                0
 613 PUNPCKLBW                     11                0
 614 PUNPCKLDQ                      7                0
 615 PUNPCKLQDQ                     2                0
 616 PUNPCKLWD                      3                0
 617 PUSH                        4415                0
 623 PXOR                          41                0
 634 RDTSC                         30                0
 637 RET_NEAR                    3374                0
 638 ROL                           76                0
 639 ROR                          176                0
 650 SAR                          321                0
 652 SBB                          143                0
 657 SETB                           8                0
 658 SETBE                          9                0
 659 SETL                           5                0
 660 SETLE                          7                0
 661 SETNB                         12                0
 662 SETNBE                         9                0
 663 SETNL                          1                0
 664 SETNLE                        32                0
 668 SETNZ                        164                0
 670 SETP                           4                0
 672 SETZ                         356                0
 682 SHL                          729                0
 685 SHR                          570                0
 704 STMXCSR                        2                0
 710 SUB                         3804                0
 713 SUBSD                          2                0
 714 SUBSS                          5                0
 716 SYSCALL                      378                0
 723 TEST                        8950                0
 724 TZCNT                          5                0
 726 UCOMISD                       16                0
 727 UCOMISS                       20                0
1424 XADD                           3                0
1426 XCHG                           1                0
1428 XGETBV                         1                0
1430 XOR                         5139                0
1431 XORPD                          8                0
1432 XORPS                          3                0
3000 *total                    170045                0
3001 *mem-atomic                  515                0
3002 *stack-read                18386               41
3003 *stack-write               21631                0
3004 *iprel-read                 5074                9
3005 *iprel-write                1681                0
3007 *mem-read-1                 3214               86
3008 *mem-read-2                  445                0
3010 *mem-read-4                 8118               37
3014 *mem-read-8                25339               36
3016 *mem-read-10                  48                0
3022 *mem-read-16                 273                0
3034 *mem-read-28                   3                0
3519 *mem-write-1                1626                6
3520 *mem-write-2                 296                0
3522 *mem-write-4                6257               21
3526 *mem-write-8               22208               73
3528 *mem-write-10                 63                0
3534 *mem-write-16                403                0
3546 *mem-write-28                  2                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
   7 ADD                        48873                0
  21 AND                        11543                0
  52 BSF                          716                0
  53 BSR                            2                0
  55 BT                           183                0
  61 CALL_NEAR                   6789                0
  64 CDQE                          31                0
  75 CMOVB                          0              909
  76 CMOVBE                         0              215
  77 CMOVL                          0                1
  79 CMOVNB                         0              286
  80 CMOVNBE                        0               50
  81 CMOVNL                         0                1
  86 CMOVNZ                         0              110
  90 CMOVZ                          0              360
  91 CMP                        68846                0
 100 CMPXCHG                      150                0
 105 CPUID                         16                0
 106 CQO                            1                0
 134 DEC                          236                0
 135 DIV                         1559                0
 251 IDIV                           1                0
 252 IMUL                        1015                0
 254 INC                         8988                0
 273 JB                          5089                0
 274 JBE                         5386                0
 275 JL                          1455                0
 276 JLE                         1809                0
 277 JMP                        14045                0
 279 JNB                         4171                0
 280 JNBE                       10591                0
 281 JNL                          220                0
 282 JNLE                        2107                0
 285 JNS                          821                0
 286 JNZ                        42117                0
 290 JS                            67                0
 291 JZ                         43720                0
 348 LEA                        28595                0
 349 LEAVE                          5                0
 384 MOV                       202516                0
 388 MOVD                          49                0
 391 MOVDQA                       123                0
 392 MOVDQU                       699                0
 394 MOVHPD                       134                0
 397 MOVLPD                       134                0
 409 MOVQ                          71                0
 419 MOVSX                        694                0
 420 MOVSXD                      4388                0
 423 MOVZX                      21058                0
 427 MUL                            9                0
 434 NEG                          188                0
 435 NOP                         2073                0
 444 NOT                           28                0
 445 OR                          1233                0
 477 PCMPEQB                     1300                0
 543 PMOVMSKB                    1153                0
 564 POP                        17681                0
 571 POR                           65                0
 582 PSHUFD                       120                0
